"PROPERTYZIP.x","SALEYEAR","emmean","SE","df","lower.CL","upper.CL","adjusted_price"
15212,2018,497.720136174603,40.9385296476645,140620,417.481401842873,577.958870506334,247725.333953666
15213,2018,609.044877640827,40.9772383982467,140620,528.730274899043,689.35948038261,370935.66298053
15214,2018,465.651575781836,40.9622951020061,140620,385.366261614591,545.93688994908,216831.390028106
15215,2018,570.627860549942,40.9629337022407,140620,490.341294738463,650.91442636142,325616.155235804
15216,2018,529.530677344526,40.9468037376448,140620,449.275725954844,609.785628734209,280402.738248953
15217,2018,653.996520794537,40.9487773071828,140620,573.737701246344,734.255340342729,427711.449211359
15218,2018,529.80483225337,40.9518282309087,140620,449.540032953085,610.069631553654,280693.160279021
15219,2018,487.635352856534,41.0038181746951,140620,407.268654261788,568.002051451281,237788.237355517
15220,2018,488.543286182082,40.9530890922055,140620,408.276015617795,568.810556746368,238674.542473587
15221,2018,459.844487449695,40.9304629839478,140620,379.621563624411,540.067411274979,211456.952637872
15222,2018,628.375794518991,41.3610004136272,140620,547.309025574275,709.442563463708,394856.139137374
15223,2018,507.270859208326,41.0091499049821,140620,426.893710524294,587.648007892357,257323.724601953
15224,2018,593.284942749166,40.9976072765709,140620,512.930417395834,673.639468102498,351987.023292881
15226,2018,504.6602032409,40.9556366842869,140620,424.387939444908,584.932467036893,254681.920735147
15227,2018,485.035772992559,40.9316598386897,140620,404.810503354895,565.261042630223,235259.70108249
15228,2018,588.056382370357,40.9580463866944,140620,507.77939560378,668.333369136933,345810.308846511
15229,2018,533.599470990351,40.954405424237,140620,453.329620440484,613.869321540218,284728.395441182
15232,2018,706.930684598048,41.0088305645429,140620,626.554161815163,787.307207380933,499750.992826265
15233,2018,510.766682229274,41.2232468871679,140620,429.969907559095,591.563456899454,260882.6036755
15234,2018,511.458468965207,40.9517696947578,140620,431.193784394657,591.723153535756,261589.765476233
15235,2018,427.322040452104,40.9160958640566,140620,347.127275906745,507.516804997463,182604.12625615
